,Seed,Errors,Size,Safe,GenerationTime,SafetyCheckTime
0,0,"[[], []]",549,True,0.004724025726318359,0.030436038970947266
1,1,"[[], []]",156,True,0.0012898445129394531,0.022893667221069336
2,2,"[[], []]",363,True,0.002924203872680664,0.02286672592163086
3,3,"[[], []]",305,True,0.0014798641204833984,0.028677940368652344
4,4,"[[], []]",99,True,0.0007879734039306641,0.019690990447998047
5,5,"[[], []]",305,True,0.001071929931640625,0.027974843978881836
6,6,"[[], []]",145,True,0.0012707710266113281,0.02108001708984375
7,7,"[['WARNING: at /Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 16 (1-17), variables result and b1 will be merged to v0', 'compilation error in functions main and main at position line 7 from line 16: assembler error Invalid pexpr for word', 'PLEASE REPORT'], ['WARNING: at /Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 16 (1-17), variables result and b1 will be merged to v0']]",365,False,0.001605987548828125,0.0281829833984375
8,8,"[['WARNING: at /Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 14 (1-17), variables result and b1 will be merged to v0'], ['WARNING: at /Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 14 (1-17), variables result and b1 will be merged to v0', 'Fatal error: exception File ""src/safety.ml"", line 3550, characters 16-22: Assertion failed']]",352,True,0.0009479522705078125,0.03053593635559082
9,9,"[[], []]",344,True,0.001756906509399414,0.02940201759338379
10,10,"[[], []]",342,True,0.0015940666198730469,0.029567956924438477
11,11,"[[], []]",354,True,0.0016927719116210938,0.03077387809753418
12,12,"[[], []]",243,False,0.0026328563690185547,0.0288088321685791
13,13,"[[], []]",339,True,0.002118825912475586,0.023642778396606445
14,14,"[[], []]",306,True,0.0014412403106689453,0.028286218643188477
15,15,"[[], []]",306,True,0.0013759136199951172,0.02753591537475586
16,16,"[[], []]",306,True,0.001210927963256836,0.02756786346435547
17,17,"[[], []]",306,True,0.0015077590942382812,0.02728104591369629
18,18,"[[], []]",306,True,0.0015077590942382812,0.027676820755004883
19,19,"[['WARNING: at /Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 12 (1-17), variables result and b1 will be merged to v0'], ['WARNING: at /Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 12 (1-17), variables result and b1 will be merged to v0']]",314,True,0.0007967948913574219,0.029382944107055664
20,20,"[['WARNING: at /Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 12 (1-17), variables result and b1 will be merged to v0'], ['WARNING: at /Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 12 (1-17), variables result and b1 will be merged to v0', 'Fatal error: exception File ""src/safety.ml"", line 3550, characters 16-22: Assertion failed']]",341,True,0.0007669925689697266,0.029462099075317383
21,21,"[['WARNING: at /Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 14 (1-17), variables result and b1 will be merged to v0'], ['WARNING: at /Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 14 (1-17), variables result and b1 will be merged to v0', 'Fatal error: exception File ""src/safety.ml"", line 3550, characters 16-22: Assertion failed']]",353,True,0.0009338855743408203,0.030642986297607422
22,22,"[[], []]",1851,True,0.02579522132873535,0.023350000381469727
23,23,"[[], []]",1222,True,0.012537240982055664,0.022196054458618164
24,24,"[[], []]",306,True,0.001371145248413086,0.029006004333496094
25,25,"[[], []]",306,True,0.0012140274047851562,0.027059078216552734
26,26,"[[], []]",306,True,0.0013899803161621094,0.028186798095703125
27,27,"[[], []]",100,True,0.0007417201995849609,0.019308805465698242
28,28,"[[], []]",157,True,0.0006089210510253906,0.023207902908325195
29,29,"[[], []]",306,True,0.0015377998352050781,0.029115915298461914
30,30,"[[], []]",100,True,0.0010390281677246094,0.01905989646911621
