,Seed,Errors,Size,Safe,GenerationTime,SafetyCheckTime
0,10000,"[['compilation error in functions f0 and f0 at position line 12: assembler error Invalid pexpr for word', 'PLEASE REPORT'], []]",299,True,0.0037970542907714844,0.027630090713500977
1,10001,"[[], []]",103,True,0.0006220340728759766,0.018512964248657227
2,10002,"[[], []]",309,True,0.001544952392578125,0.027642011642456055
3,10003,"[[], []]",309,True,0.0014462471008300781,0.028194904327392578
4,10004,"[[], []]",103,True,0.0011031627655029297,0.018690109252929688
5,10005,"[[], []]",309,True,0.0016598701477050781,0.027988910675048828
6,10006,"[[], []]",135,True,0.001432180404663086,0.019829988479614258
7,10007,"[[], []]",308,True,0.0014400482177734375,0.0245668888092041
8,10008,"[[], []]",308,True,0.00150299072265625,0.024862289428710938
9,10009,"[[], []]",318,True,0.0017931461334228516,0.028528928756713867
10,10010,"[['compilation error in functions f0 and f0 at position line 12: assembler error Invalid pexpr for word', 'PLEASE REPORT'], []]",2767,True,0.020488977432250977,0.0382990837097168
11,10011,"[[], []]",2750,True,0.03131413459777832,0.026813745498657227
12,10012,"[['compilation error in functions f0 and f0 at position line 9: assembler error Invalid pexpr for word', 'PLEASE REPORT'], []]",220,True,0.0025739669799804688,0.025208711624145508
13,10013,"[[], []]",189,True,0.0014500617980957031,0.022916078567504883
14,10014,"[['WARNING: at /Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 16 (1-17), variables result and b1 will be merged to v0', 'compilation error in functions main and main at position line 7 from line 16: assembler error Invalid pexpr for word', 'PLEASE REPORT'], ['WARNING: at /Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 16 (1-17), variables result and b1 will be merged to v0']]",358,True,0.0014698505401611328,0.028186321258544922
15,10015,"[[], []]",394,True,0.001651763916015625,0.03886103630065918
16,10016,"[[], []]",383,True,0.001631021499633789,0.03687715530395508
17,10017,"[[], []]",2609,False,0.03070831298828125,0.02820134162902832
18,10018,"[[], []]",2489,False,0.022359609603881836,0.06659817695617676
19,10019,"[[], []]",336,False,0.001968860626220703,0.02893996238708496
20,10020,"[[], []]",309,True,0.0016341209411621094,0.027894973754882812
21,10021,"[[], []]",309,True,0.0016260147094726562,0.027318954467773438
22,10022,"[[], []]",309,True,0.0016109943389892578,0.028103113174438477
23,10023,"[[], []]",160,True,0.0010938644409179688,0.022682666778564453
24,10024,"[[], []]",160,True,0.0010409355163574219,0.022127866744995117
25,10025,"[[], []]",309,True,0.0015873908996582031,0.028096914291381836
26,10026,"[[], []]",309,True,0.0015709400177001953,0.027240991592407227
27,10027,"[['Register allocation at line line 30: variable  _5.152 must be allocated to conflicting register PF.76'], []]",2270,False,0.023061752319335938,0.038259267807006836
28,10028,"[[], []]",309,True,0.0012469291687011719,0.028194904327392578
29,10029,"[[], []]",309,True,0.0010380744934082031,0.02747178077697754
30,10030,"[[], []]",309,True,0.0009801387786865234,0.027688026428222656
31,10031,"[[], []]",368,True,0.0029900074005126953,0.027220964431762695
32,10032,"[[], []]",339,True,0.0020499229431152344,0.03169512748718262
33,10033,"[['compilation error in functions f0 and f0 at position line 7: assembler error Not a (x)register', 'PLEASE REPORT'], []]",257,True,0.0016160011291503906,0.02878093719482422
34,10034,"[[], []]",390,True,0.0012180805206298828,0.03558778762817383
35,10035,"[[], []]",309,True,0.0015139579772949219,0.027735233306884766
36,10036,"[[], []]",309,True,0.0015590190887451172,0.027688980102539062
37,10037,"[[], []]",309,True,0.0015399456024169922,0.027348995208740234
38,10038,"[[], []]",142,True,0.0012850761413574219,0.021253108978271484
39,10039,"[[], []]",2007,False,0.026896953582763672,0.02740001678466797
40,10040,"[['compilation error in functions f0 and f0 at position line 14: assembler error Invalid pexpr for word', 'PLEASE REPORT'], []]",2176,True,0.031540870666503906,0.03076481819152832
41,10041,"[['WARNING: CAN NOT FIND IINFO 1', 'compilation error in functions f0 and f0 at position line -1: assembler error Not a (x)register', 'PLEASE REPORT'], []]",1952,False,0.01810002326965332,0.04614114761352539
42,10042,"[['WARNING: CAN NOT FIND IINFO 1', 'compilation error in functions f0 and f0 at position line -1: assembler error Not a (x)register', 'PLEASE REPORT'], []]",1952,False,0.01929306983947754,0.044484853744506836
43,10043,"[[], []]",308,True,0.0010218620300292969,0.027312040328979492
44,10044,"[[], []]",103,True,0.0011489391326904297,0.018391847610473633
45,10045,"[[], []]",103,True,0.0008161067962646484,0.019405841827392578
46,10046,"[[], []]",309,True,0.0009598731994628906,0.027993202209472656
47,10047,"[[], []]",103,True,0.0012066364288330078,0.019017934799194336
48,10048,"[[], []]",1585,False,0.024003028869628906,0.02873086929321289
49,10049,"[[], []]",323,False,0.0015869140625,0.04601168632507324
50,10050,"[['WARNING: CAN NOT FIND IINFO 1', 'Register allocation at line line -1: variable ZF.139 must be allocated to conflicting register ZF.78'], []]",1366,True,0.015488147735595703,0.030557870864868164
51,10051,"[[], []]",1406,False,0.014306783676147461,0.037262916564941406
52,10052,"[[], []]",1406,False,0.013948917388916016,0.03809499740600586
53,10053,"[[], []]",308,True,0.0010809898376464844,0.026950836181640625
54,10054,"[[], []]",308,True,0.0010309219360351562,0.026887893676757812
55,10055,"[[], []]",405,True,0.0010082721710205078,0.03750872611999512
56,10056,"[[], []]",309,True,0.0021910667419433594,0.030656099319458008
57,10057,"[['WARNING: CAN NOT FIND IINFO 1', 'Register allocation at line line -1: variable ZF.142 must be allocated to conflicting register ZF.78'], ['Fatal error: exception Failure(""Linexpr1.set_coeff: unknown variable ael_v3_64_1 in the environment"")']]",1153,True,0.016035795211791992,0.34099364280700684
58,10058,"[['WARNING: CAN NOT FIND IINFO 1', 'Register allocation at line line -1: variable ZF.142 must be allocated to conflicting register ZF.78'], ['Fatal error: exception Failure(""Linexpr1.set_coeff: unknown variable ael_v3_64_1 in the environment"")']]",1150,True,0.027330875396728516,0.33968520164489746
59,10059,"[['Register allocation at line line 28: variable ZF.145 must be allocated to conflicting register ZF.78'], []]",1331,False,0.01558685302734375,0.19518518447875977
60,10060,"[['WARNING: at /Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 48 (13-18), the expression input will not be evaluated to a constant expression, inlining will introduce an assigment', 'Register allocation at line line 25 from line 48: variable ZF.168 must be allocated to conflicting register ZF.78'], ['WARNING: at /Users/thorjakobsen/GIT/jasmin/compiler/tests/jasminFuzzer/test.jazz: line 48 (13-18), the expression input will not be evaluated to a constant expression, inlining will introduce an assigment']]",887,False,0.009862899780273438,0.2352008819580078
61,10061,"[[], []]",712,True,0.00989079475402832,0.025344133377075195
62,10062,"[['WARNING: CAN NOT FIND IINFO 1'], []]",768,False,0.01987314224243164,0.06524181365966797
63,10063,"[[], []]",309,True,0.0021240711212158203,0.031180858612060547
64,10064,"[[], []]",310,True,0.0030961036682128906,0.023100852966308594
65,10065,"[[], []]",435,False,0.0032520294189453125,0.07620406150817871
